# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
shuo hua 	说话	c=4 d=2.69731 t=28339
shuo lou 	说漏	c=1 d=1 t=8787
shuo ming 	说明	c=22 d=1 t=27682
shuo shi 	说是	c=7 d=1.04394 t=27443
shuo shuo 	说说	c=2 d=1 t=28002
shuo tong 	说通	c=1 d=1 t=22786
si 	司	c=1 d=1 t=18447
si 	四	c=6 d=1 t=24529
si 	思	c=2 d=1.03956 t=4918
si 	死	c=4 d=1 t=27142
si bai luo de 	四白落地	c=1 d=1 t=6397
si guan zhi 	四管制	c=4 d=2.28867 t=24537
si hai 	四海	c=1 d=1 t=850
si long 	斯隆	c=1 d=1 t=27850
si lu 	思路	c=1 d=1 t=26513
si mi 	私密	c=1 d=1 t=9345
si ren 	私人	c=2 d=1.956 t=5226
si she wu ru 	四舍五入	c=1 d=1 t=17755
si shi tong tang 	四世同堂	c=1 d=1 t=6538
si wei 	思维	c=1 d=1 t=11027
si xia 	私下	c=1 d=1 t=17435
si xiang 	思想	c=1 d=1 t=22751
si zi 	私自	c=1 d=1 t=18494
song 	宋	c=18 d=3.05299 t=28069
song 	送	c=13 d=1.91851 t=26839
song feng 	送风	c=9 d=2.32594 t=21534
song feng kou 	送风口	c=1 d=1 t=23353
song jia zhuang 	宋家庄	c=1 d=1 t=22069
song yang 	送样	c=3 d=2.74704 t=3177
sou 	搜	c=2 d=1.01945 t=9798
sou suo 	搜索	c=1 d=1 t=25944
su 	苏	c=1 d=1 t=20504
su liao 	塑料	c=2 d=1 t=9870
suan 	算	c=10 d=1 t=24395
sui 	岁	c=3 d=1.00096 t=22739
sui 	随	c=1 d=1 t=23216
sui bian 	随便	c=6 d=1.00664 t=24634
sui gan 	随感	c=1 d=1 t=4398
sui ji 	随机	c=1 d=1 t=6619
sui ji shu 	随机数	c=1 d=1 t=23575
sui ran 	虽然	c=1 d=1 t=15007
sui shi 	随时	c=1 d=1 t=2353
sui shu 	岁数	c=2 d=1 t=16307
sui shuo 	虽说	c=1 d=1 t=8382
sun 	孙	c=17 d=1 t=24225
sun hong 	孙洪	c=1 d=1 t=24847
sun nv 	孙女	c=1 d=1 t=20316
suo 	所	c=2 d=1 t=14073
suo 	索	c=1 d=1 t=28386
suo 	缩	c=1 d=1 t=4751
suo chu 	所处	c=1 d=1 t=18108
suo ding 	锁定	c=1 d=1 t=23029
suo duan 	缩短	c=1 d=1 t=1014
suo lie 	所列	c=2 d=1 t=25384
suo shu 	所述	c=1 d=1 t=19726
suo yi 	所以	c=13 d=1.00012 t=25047
suo you 	所有	c=4 d=1 t=27414
ta 	他	c=28 d=1.02663 t=26865
ta 	塔	c=5 d=2.89255 t=7195
ta 	她	c=33 d=1.90486 t=28429
ta kan 	踏勘	c=14 d=2.6636 t=27874
ta ren 	他人	c=1 d=1 t=16821
tai 	台	c=8 d=1.00662 t=27905
tai 	太	c=42 d=1.13466 t=26876
tai 	泰	c=2 d=1 t=28387
tai bu qi lai 	抬不起来	c=1 d=1 t=27559
tai chao 	太吵	c=1 d=1 t=6559
tai gao 	抬高	c=1 d=1 t=14660
tai guo 	泰国	c=7 d=5.07577 t=326
tai hai 	台海	c=2 d=1.85642 t=1455
tai re 	太热	c=1 d=1 t=26581
tai shu 	台数	c=2 d=1 t=8555
tai yang 	太阳	c=6 d=1.0056 t=15196
tai yang neng 	太阳能	c=5 d=1 t=17792
tai zhu 	泰铢	c=1 d=1 t=306
tan 	谈	c=3 d=1 t=14170
tan jia 	谈价	c=1 d=1 t=122
tan pan 	谈判	c=1 d=1 t=129
tan tan kou feng 	探探口风	c=1 d=1 t=17439
tang 	唐	c=3 d=1.00215 t=18555
tang 	汤	c=1 d=1 t=8473
tang chao 	唐朝	c=1 d=1 t=13961
tang niao bing 	糖尿病	c=1 d=1 t=13600
tang ping 	躺平	c=1 d=1 t=14962
tao 	套	c=3 d=1.84366 t=24413
tao 	掏	c=1 d=1 t=5242
tao 	涛	c=3 d=1.99005 t=17111
tao guan 	套管	c=8 d=1 t=15304
tao lun 	讨论	c=30 d=1.15803 t=28134
tao qian 	掏钱	c=1 d=1 t=13603
tao yan 	讨厌	c=2 d=1.02317 t=1529
te 	特	c=2 d=1.19989 t=19457
te bie 	特别	c=5 d=1.00048 t=24957
te dian 	特点	c=5 d=1 t=25670
te ji 	特技	c=1 d=1 t=27861
te kuai 	特快	c=1 d=1 t=27866
te lang pu 	特朗普	c=1 d=1 t=26228
te ling 	特灵	c=4 d=2.53097 t=19138
te se 	特色	c=2 d=1 t=9890
te shu 	特殊	c=2 d=1 t=21285
te si la 	特斯拉	c=1 d=1 t=10774
te yi 	特意	c=1 d=1 t=25418
teng xun 	腾讯	c=5 d=1.0251 t=25610
ti 	体	c=5 d=1 t=14571
ti 	提	c=44 d=3.06856 t=28382
ti cai 	题材	c=1 d=1 t=26229
ti ce 	体侧	c=1 d=1 t=1933
ti ce 	体测	c=1 d=1 t=1934
ti chu 	提出	c=5 d=1 t=25904
ti dai 	替代	c=5 d=1.93707 t=18147
ti dao 	提到	c=2 d=1.20089 t=13105
ti dui 	梯队	c=1 d=1 t=17705
ti gao 	提高	c=4 d=1.79453 t=14689
ti gong 	提供	c=51 d=1.00014 t=27832
ti huan 	替换	c=6 d=1 t=23158
ti jian 	体检	c=1 d=1 t=14920
ti jiao 	提交	c=12 d=1.9355 t=27063
ti pi qiu 	踢皮球	c=1 d=1 t=5016
ti qian 	提前	c=5 d=1 t=17942
ti qu 	提取	c=2 d=1.86502 t=18811
ti sheng 	提升	c=9 d=1.66698 t=27981
ti sheng qi 	提升器	c=1 d=1 t=15248
ti shi 	提示	c=1 d=1 t=12066
ti xing 	提醒	c=11 d=1.25795 t=28042
ti yan 	体验	c=1 d=1 t=13385
ti zi 	提资	c=2 d=1 t=27827
tian 	填	c=6 d=1 t=26199
tian 	天	c=4 d=1 t=28366
tian 	田	c=10 d=1.01395 t=25701
tian chu 	天厨	c=12 d=1.97531 t=27545
tian ding 	天顶	c=0 d=0.1 t=9273
tian ding xing 	天顶星	c=1 d=1 t=9274
tian ge 	田格	c=2 d=1.4607 t=24065
tian hua 	天花	c=8 d=1.86502 t=19785
tian qi 	天气	c=8 d=1.4733 t=26833
tian se 	填色	c=1 d=1 t=17627
tian tian 	天天	c=2 d=1 t=19323
tiao 	条	c=2 d=1 t=15550
tiao 	跳	c=1 d=1 t=8832
tiao dong 	跳动	c=1 d=1 t=28352
tiao feng 	条缝	c=2 d=1.00003 t=3211
tiao jian 	条件	c=13 d=1.00005 t=22448
tiao jie 	调节	c=7 d=2.66604 t=24600
tiao shi 	调试	c=14 d=1.0028 t=28168
tiao tiao 	跳跳	c=1 d=1.1 t=9034
tiao wen 	条文	c=1 d=1 t=5152
tiao xu 	调蓄	c=1 d=1 t=19962
tiao xu chi 	调蓄池	c=1 d=1 t=20206
tiao ya 	调压	c=1 d=1 t=2069
tiao zao 	跳蚤	c=1 d=1 t=26211
tiao zhan 	挑战	c=1 d=1 t=5667
tiao zheng 	调整	c=36 d=1.00006 t=27658
tie 	铁	c=1 d=1 t=22537
tie bi a tong mu 	铁臂阿童木	c=1 d=1 t=24824
tie shang 	贴上	c=1 d=1 t=21432
tie tou 	铁头	c=1 d=1 t=23913
tie tu 	贴图	c=1 d=1 t=24772
tie zhe 	贴着	c=1 d=1 t=1955
tie zi 	帖子	c=2 d=1.57121 t=15108
ting 	停	c=2 d=1 t=26829
ting 	厅	c=21 d=1 t=25086
ting 	听	c=10 d=1 t=26179
ting 	挺	c=21 d=1.00001 t=25111
ting che 	停车	c=1 d=1 t=25116
ting guo 	听过	c=3 d=1 t=27907
ting ji 	停机	c=1 d=1 t=26999
ting jian 	听见	c=4 d=2.89871 t=28335
ting ke 	停课	c=1 d=1 t=26835
ting liu 	停留	c=2 d=1.00003 t=27413
ting shuo 	听说	c=4 d=1 t=20202
ting ting 	听听	c=3 d=1.89583 t=19431
ting yuan 	庭院	c=5 d=1 t=28261
ting zhe 	听着	c=5 d=1.94176 t=25659
ting zi 	亭子	c=3 d=2.70068 t=3270
tong 	同	c=1 d=1 t=9737
tong 	筒	c=2 d=1 t=10891
tong bu 	同步	c=6 d=1.00343 t=27164
tong chuan 	同传	c=1 d=1 t=7298
tong dao 	捅到	c=1 d=1 t=23511
tong dian 	痛点	c=1 d=1 t=27965
tong feng 	通风	c=17 d=1.88692 t=26724
tong guo 	通过	c=10 d=1 t=27611
tong hua 	童话	c=1 d=1 t=27135
tong ji 	统计	c=5 d=1.00866 t=28121
tong qi 	通气	c=2 d=1 t=15535
tong sheng 	同声	c=3 d=2.92644 t=247
tong shi 	同事	c=8 d=1.01813 t=26862
tong shi 	同时	c=12 d=1.00027 t=27663
tong tou 	通透	c=3 d=1.35523 t=27654
tong wen 	同问	c=1 d=1 t=23664
tong xiao 	通宵	c=1 d=1 t=12330
tong xue 	同学	c=2 d=1.00013 t=11942
tong xun 	通讯	c=1 d=1 t=24843
tong yi 	同意	c=6 d=1.94797 t=25422
tong yi 	统一	c=18 d=2.07704 t=23499
tong yong 	通用	c=3 d=1.00082 t=14012
tong zhi 	通知	c=4 d=1.00206 t=21414
tou 	头	c=2 d=1.36422 t=1145
tou 	投	c=2 d=1.94649 t=25164
tou biao 	投标	c=2 d=1 t=22570
tou bu 	头部	c=2 d=1 t=14225
tou fang 	投放	c=1 d=1 t=5719
tou lan 	偷懒	c=1 d=1 t=10933
tou ping 	投屏	c=1 d=1 t=698
tou tou 	偷偷	c=1 d=1 t=20289
tou zi 	投资	c=2 d=1.00188 t=2712
tu 	图	c=62 d=1.00566 t=27642
tu 	土	c=3 d=1 t=11690
tu 	涂	c=1 d=1 t=1809
tu biao 	图标	c=1 d=1 t=21843
tu cao 	吐槽	c=2 d=1 t=23088
tu hong gang 	屠洪刚	c=1 d=1 t=20308
tu ji 	图集	c=5 d=2.91727 t=24464
tu jian 	土建	c=9 d=1 t=23134
tu li 	图例	c=2 d=1.96079 t=18880
tu mo 	涂抹	c=1 d=1 t=16340
tu pian 	图片	c=6 d=1.00118 t=22974
tu qi 	突起	c=1 d=1 t=2194
tu ran 	突然	c=1 d=1 t=6475
tu shang 	图上	c=3 d=1 t=7465
tu shu 	图书	c=1 d=1 t=14531
tu zhi 	图纸	c=151 d=3.16233 t=28150
tu zi 	兔子	c=1 d=1 t=24680
tuan dui 	团队	c=2 d=1 t=12174
tui 	推	c=5 d=1 t=28373
tui jian 	推荐	c=14 d=3.67448 t=25375
tui jin 	推进	c=2 d=1 t=25463
tui xiu 	退休	c=1 d=1 t=20991
tui you 	推油	c=1 d=1 t=9329
tuo 	妥	c=2 d=1.03956 t=4917
tuo 	脱	c=1 d=1 t=17323
tuo ba 	拖把	c=1 d=1 t=5749
tuo le 	脱了	c=1 d=1 t=12430
tuo si 	妥思	c=1 d=1 t=26463
wa 	哇	c=2 d=1 t=8410
wa 	娃	c=41 d=1.48072 t=27873
wa 	瓦	c=2 d=1 t=26285
wa 	蛙	c=5 d=2.24072 t=20302
wa er deng 	瓦尔登	c=3 d=2.34875 t=26490
wai 	外	c=6 d=1 t=18565
wai bi 	外币	c=1 d=1 t=12504
wai bian 	外边	c=5 d=1.00334 t=24042
wai bu 	外部	c=1 d=1 t=24140
wai ji 	外机	c=2 d=1.98511 t=21192
wai jie 	外街	c=1 d=1 t=27018
wai mian 	外面	c=2 d=1 t=13642
wai mu qiang 	外幕墙	c=1 d=1 t=20774
wai qiang 	外墙	c=4 d=1.89137 t=15308
wai shen 	外审	c=7 d=1.42877 t=26770
wai wang 	外网	c=1 d=1 t=13197
wai xuan 	外宣	c=1 d=1 t=13204
wan 	万	c=1 d=1 t=8374
wan 	完	c=38 d=1.30048 t=28205
wan 	晚	c=5 d=1.00241 t=17749
wan 	玩	c=16 d=1.00004 t=26849
wan an 	晚安	c=1 d=1 t=15776
wan bi 	完毕	c=1 d=1 t=22611
wan cheng 	完成	c=40 d=1.00004 t=23108
wan dan 	完蛋	c=1 d=1 t=19532
wan dian 	晚点	c=1 d=1 t=13997
wan fan 	晚饭	c=3 d=1.07398 t=27096
wan hao 	万豪	c=38 d=1.47715 t=28143
wan ju 	玩具	c=4 d=1.04958 t=21035
wan mei 	完美	c=1 d=1 t=14132
wan nian 	万年	c=1 d=1 t=15008
wan quan 	完全	c=6 d=1.23224 t=26798
wan shan 	完善	c=2 d=1 t=26048
wan shang 	晚上	c=22 d=1.00012 t=26982
wan shang 	玩上	c=1 d=1 t=9174
wan shi 	完事	c=4 d=1 t=26341
wan tou 	弯头	c=1 d=1 t=4935
wan wan 	玩玩	c=2 d=1 t=17347
wan yi 	万一	c=2 d=1 t=24054
wan yi 	万亿	c=1 d=1 t=13317
wan yi 	玩意	c=8 d=1.92777 t=4864
wan zheng 	完整	c=3 d=1 t=18403
wang 	往	c=4 d=1.81465 t=14265
wang 	望	c=1 d=1 t=8277
wang 	汪	c=19 d=1.90091 t=26772
wang 	王	c=29 d=1 t=26231
wang 	网	c=2 d=1.06329 t=18622
wang dan 	王丹	c=1 d=1 t=14402
wang gong 	汪工	c=3 d=1.00288 t=24736
wang guo 	王国	c=2 d=1 t=18573
wang hou 	往后	c=1 d=1 t=17930
wang huan 	王欢	c=2 d=1 t=23701
wang hui 	往回	c=1 d=1 t=21337
wang jian li 	王建立	c=1 d=1 t=11640
wang lai 	往来	c=1 d=1 t=12098
wang le 	忘了	c=5 d=1 t=21803
wang luo 	网络	c=4 d=1.00007 t=25362
wang ming jun 	王明军	c=2 d=1.9802 t=5120
wang nian 	往年	c=1 d=1 t=19850
wang shang 	网上	c=4 d=1 t=23087
wang wang 	汪汪	c=2 d=1.83946 t=14821
wang xia 	往下	c=1 d=1 t=6522
wang xiao wei 	王晓伟	c=1 d=1 t=24077
wang ye 	网页	c=1 d=1 t=3812
wang yi 	王毅	c=1 d=1 t=14071
wang yi 	网易	c=1 d=1 t=17481
wang you 	网游	c=1 d=1 t=17458
wang yu 	王玉	c=2 d=1.99005 t=15062
wang yue che 	网约车	c=1 d=1 t=10760
wang zhan 	网站	c=2 d=1.00341 t=15106
wang zhi 	网址	c=1 d=1 t=13968
wei 	为	c=16 d=2.05067 t=28173
wei 	伟	c=8 d=1 t=27713
wei 	位	c=3 d=1 t=26074
wei 	围	c=1 d=1 t=27432
wei 	未	c=19 d=1.14592 t=26024
wei 	维	c=5 d=1 t=21907
wei 	蔚	c=3 d=2.85114 t=3967
wei 	魏	c=3 d=1 t=22969
wei bi 	未必	c=2 d=1.00001 t=25188
wei chi 	维持	c=4 d=1.62189 t=15360
wei dao 	味道	c=1 d=1 t=13585
wei gong cun 	魏公村	c=2 d=1.99501 t=17042
wei jian 	未见	c=7 d=1 t=23787
wei lai 	未来	c=3 d=1 t=18029
wei lai 	蔚来	c=1 d=1 t=10039
wei le 	为了	c=5 d=1 t=26176
wei le 	威乐	c=3 d=2.92712 t=21744
wei li 	为例	c=1 d=1 t=4340
wei li 	威力	c=1 d=1 t=3386
wei ruan 	微软	c=1 d=1 t=23095
wei sha 	为啥	c=4 d=1 t=24943
wei shen me 	为什么	c=3 d=1.00053 t=16267
wei sheng 	卫生	c=1 d=1 t=10787
wei sheng jian 	卫生间	c=14 d=1.00026 t=27490
wei sheng yao qiu 	卫生要求	c=1 d=1 t=6402
wei tuo 	委托	c=1 d=1 t=2122
wei wu 	威武	c=2 d=1.00099 t=20382
wei xian 	危险	c=1 d=1 t=26809
wei xin 	微信	c=57 d=1.08757 t=27766
wei xiu 	维修	c=3 d=1 t=15831
wei yi 	为宜	c=1 d=1 t=20786
wei yi 	唯一	c=1 d=1 t=20180
wei zhi 	位置	c=19 d=1 t=27171
wei zhun 	为准	c=8 d=1 t=25298
wen 	问	c=50 d=1.42743 t=28275
wen cha 	温差	c=1 d=1 t=9766
wen dang 	文档	c=1 d=1 t=17549
wen du 	温度	c=11 d=1.19595 t=26479
wen hou 	问候	c=1 d=1 t=28089
wen jian 	文件	c=52 d=1.22795 t=27989
wen kong 	温控	c=1 d=1 t=15267
wen lei 	文雷	c=1 d=1 t=26004
wen luan 	紊乱	c=1 d=1 t=26003
wen mang 	文盲	c=1 d=1 t=853
wen quan 	温泉	c=1 d=1 t=9287
wen ti 	问题	c=3 d=0.1 t=7979
wen ti ye 	问题也	c=1 d=1 t=7980
wen wen 	问问	c=45 d=1.01 t=28401
wen ya 	稳压	c=2 d=1.79852 t=674
wen zi 	文字	c=11 d=1.00117 t=19953
wen zi 	蚊子	c=1 d=1 t=24045
wo 	我	c=413 d=3.04414 t=28407
wo 	沃	c=1 d=1 t=12927
wo ba 	我爸	c=3 d=2.4785 t=22787
wo cao 	卧槽	c=2 d=1 t=18047
wo de 	我的	c=1 d=1 t=21597
wo jia 	我家	c=3 d=1 t=23072
wo ma 	我妈	c=4 d=2.4716 t=22783
wo men zhe 	我们这	c=2 d=1.07317 t=27100
wo shou 	握手	c=2 d=1 t=18516
wo shuo 	我说	c=1 d=1 t=13831
wo si 	我司	c=1 d=1 t=25391
wo zhe 	我这	c=1 d=1 t=22545
wu 	五	c=3 d=1 t=11572
wu 	吴	c=4 d=1 t=12986
wu 	无	c=7 d=1 t=27293
wu cha 	误差	c=1 d=1 t=2275
wu dao ke 	舞蹈课	c=1 d=1 t=3377
wu ding 	屋顶	c=16 d=1.00009 t=27793
wu fa 	无法	c=6 d=1 t=27836
wu fan 	午饭	c=1 d=1 t=28058
wu fan 	吴凡	c=3 d=1.00002 t=11087
wu feng 	无缝	c=2 d=1.78663 t=2688
wu feng 	无风	c=1 d=1 t=15386
wu gou 	污垢	c=1 d=1 t=4121
wu han 	武汉	c=2 d=1.95123 t=13362
wu jiao 	午觉	c=1 d=1 t=2171
wu li 	屋里	c=1 d=1 t=10819
wu lian 	捂脸	c=1 d=1 t=27500
wu ma 	无码	c=1 d=1 t=15112
wu mian 	屋面	c=4 d=1 t=22442
wu qi 	武器	c=1 d=1 t=27871
wu ran 	污染	c=1 d=1 t=13247
wu shui 	污水	c=2 d=1 t=15244
wu shui keng 	污水坑	c=1 d=1 t=15579
wu sun 	无损	c=1 d=1 t=13965
wu suo bu neng 	无所不能	c=1 d=1 t=25924
wu suo wei 	无所谓	c=4 d=1.00694 t=27921
wu yan 	午宴	c=9 d=1 t=20154
wu yan ting 	午宴厅	c=1 d=1 t=820
wu ye 	物业	c=17 d=1.49411 t=26470
wu zi 	物资	c=1 d=1 t=8176
xi 	喜	c=2 d=1.94649 t=15224
xi 	系	c=1 d=1.09656 t=23096
xi 	细	c=1 d=1 t=4566
xi 	西	c=2 d=1.00007 t=4199
xi an 	西安	c=1 d=1 t=9999
xi ban ya 	西班牙	c=1 d=1 t=22560
xi bian 	西边	c=1 d=1 t=1971
xi ce 	西侧	c=5 d=1.0006 t=20527
xi du 	吸毒	c=1 d=1 t=15123
xi guan 	习惯	c=1 d=1 t=9063
xi hong shi 	西红柿	c=1 d=1 t=21065
xi huan 	喜欢	c=7 d=1.00114 t=26234
xi jun 	细菌	c=1 d=1 t=16114
xi lie 	系列	c=3 d=1 t=21820
xi rou 	息肉	c=2 d=1.93707 t=23986
xi shu 	系数	c=1 d=1 t=4141
xi ti 	习题	c=1 d=1 t=21068
xi tong 	系统	c=40 d=1.02056 t=27671
xi wan 	洗完	c=1 d=1 t=7231
xi wan jian 	洗碗间	c=1 d=1 t=3466
xi wang 	希望	c=1 d=1 t=21965
xi xian 	细线	c=1 d=1 t=3584
xi yi 	洗衣	c=2 d=1 t=21790
xi yi fang 	洗衣房	c=14 d=1.00014 t=27202
xi yi ji 	洗衣机	c=1 d=1 t=27192
xi yi ji fang 	洗衣机房	c=3 d=1 t=27195
xia 	下	c=17 d=1.02159 t=27785
xia 	瞎	c=3 d=1.81465 t=28266
xia ban 	下班	c=5 d=1 t=26866
xia bu 	下部	c=1 d=1 t=25351
xia chang 	下场	c=1 d=1 t=16093
xia chen 	下沉	c=5 d=1 t=28260
xia chui 	下垂	c=1 d=1 t=14882
xia ci 	瑕疵	c=1 d=1 t=6466
xia dan 	下单	c=1 d=1 t=6170
xia fa 	下发	c=7 d=1 t=23535
xia jiang 	下降	c=1 d=1 t=15000
xia lai 	下来	c=3 d=1 t=26483
xia lou 	下楼	c=2 d=1.05287 t=15786
xia men 	厦门	c=1 d=1 t=22384
xia mian 	下面	c=15 d=1.00001 t=25753
xia pen 	下喷	c=1 d=1 t=26895
xia qu 	下去	c=3 d=1 t=25490
xia shou 	下手	c=1 d=1 t=23432
xia shu 	下述	c=1 d=1 t=10505
xia shui 	下水	c=1 d=1 t=1380
xia song 	下送	c=1 d=1 t=19170
xia tian 	夏天	c=2 d=1 t=27932
xia wo 	吓我	c=1 d=1 t=2702
xia wo yi tiao 	吓我一跳	c=1 d=1 t=763
xia wu 	下午	c=43 d=1.37652 t=27232
xia xun 	下旬	c=1 d=1 t=15628
xia you 	下邮	c=1 d=1 t=4968
xia yuan 	下缘	c=1 d=1 t=16463
xia zai 	下载	c=40 d=1.76892 t=27920
xia zhou 	下周	c=19 d=1 t=27310
xian 	先	c=63 d=2.3793 t=28303
xian 	献	c=1 d=1 t=25096
xian 	现	c=10 d=1.04623 t=21691
xian 	线	c=4 d=1.00005 t=20265
xian cao 	线槽	c=2 d=1.95123 t=833
xian chang 	现场	c=55 d=1.43829 t=27892
xian cheng 	现成	c=2 d=1.2265 t=24453
xian cheng 	线程	c=1 d=1 t=1220
xian ding 	限定	c=1 d=1 t=1136
xian jin 	先进	c=3 d=2.24982 t=25435
xian ka 	显卡	c=3 d=2.31131 t=12524
xian shang 	线上	c=1 d=1 t=11503
xian shi 	显示	c=3 d=1.00043 t=21816
xian shi 	现实	c=1 d=1 t=5940
xian xia 	仙侠	c=1 d=1 t=17472
xian xing 	线性	c=7 d=1.93707 t=17158
xian you 	现有	c=4 d=1 t=9969
xian zai 	现在	c=54 d=1 t=28319
xian zhi 	限制	c=2 d=1.05931 t=5388
xian zhuang 	现状	c=6 d=1 t=24294
xiang 	像	c=3 d=1 t=19460
xiang 	向	c=1 d=1 t=20670
xiang 	想	c=34 d=1.00333 t=28080
xiang 	箱	c=8 d=1 t=8164
xiang 	项	c=1 d=1 t=7643
xiang bu xiang 	想不想	c=1 d=1 t=12541
xiang dang 	相当	c=1 d=1 t=12563
xiang dang yu 	相当于	c=1 d=1 t=1420
xiang dui 	相对	c=2 d=1 t=25134
xiang fa 	想法	c=3 d=1 t=27450
xiang guan 	相关	c=12 d=1 t=25588
xiang mu 	项目	c=17 d=1.32759 t=26019
xiang qian 	向前	c=2 d=1 t=25620
xiang ti bing lun 	相提并论	c=1 d=1 t=5252
xiang xi 	详细	c=2 d=1.00494 t=4607
xiang xia 	向下	c=1 d=1 t=9157
xiang ying 	响应	c=2 d=1 t=28031
xiang zhe 	想着	c=2 d=1 t=25233
xiang zi 	祥子	c=1 d=1 t=6536
xiao 	小	c=48 d=1.02626 t=27911
xiao 	笑	c=5 d=1.03877 t=27843
xiao chuan 	哮喘	c=1 d=1 t=9525
xiao dao 	小刀	c=1 d=1 t=26084
xiao diao 	小吊	c=1 d=1 t=15382
xiao du 	消毒	c=1 d=1 t=26271
xiao fang 	消防	c=43 d=4.11416 t=27791
xiao fei 	消费	c=2 d=1.00951 t=13392
xiao guo 	效果	c=5 d=1 t=25921
xiao hua 	消化	c=1 d=1 t=21275
xiao huo shuan 	消火栓	c=10 d=1.88692 t=20514
xiao jia 	小家	c=1 d=1 t=14970
xiao jian 	小间	c=1 d=1 t=10901
xiao lin 	晓琳	c=1 d=1 t=26941
xiao mi 	小米	c=6 d=1 t=13214
xiao qu 	小区	c=1 d=1 t=9269
xiao ren shu 	小人书	c=1 d=1 t=24826
xiao sha 	消杀	c=4 d=1.53794 t=19184
xiao sheng 	消声	c=3 d=1.09048 t=25808
xiao sheng liang 	消声量	c=1 d=1 t=25789
xiao sheng qi 	消声器	c=11 d=2.90771 t=25801
xiao shi 	小事	c=1 d=1 t=15352
xiao shi 	小时	c=9 d=1.12401 t=27946
xiao shuo 	小说	c=1 d=1 t=7078
xiao xi 	消息	c=2 d=1 t=11605
xiao xie 	小鞋	c=1 d=1 t=5790
xiao xin 	小心	c=3 d=1.02586 t=12476
xiao xin 	小鑫	c=1 d=1 t=8865
xiao xue 	小学	c=1 d=1 t=24795
xiao ying 	效应	c=2 d=1 t=14220
xie 	些	c=2 d=1 t=7220
xie 	写	c=56 d=1.06237 t=27897
xie 	鞋	c=6 d=1 t=24710
xie cheng 	携程	c=1 d=1 t=22383
xie chu 	写出	c=1 d=1 t=3214
xie de 	写的	c=2 d=1 t=11555
xie lou 	泄露	c=1 d=1 t=1801
xie shui 	泄水	c=2 d=1.89137 t=16423
xie tiao 	协调	c=8 d=1.04076 t=26358
xie tiao hui 	协调会	c=1 d=1 t=14124
xie wan 	写完	c=1 d=1 t=22658
xie xie 	谢谢	c=3 d=1 t=22227
xie xin 	谢欣	c=1 d=1 t=7742
xie ya 	卸压	c=2 d=1.97531 t=21536
xie yi 	协议	c=5 d=1.00006 t=27860
xie zi lou 	写字楼	c=4 d=1 t=27882
xin 	信	c=1 d=1 t=26115
xin 	心	c=2 d=1.99501 t=19991
xin 	新	c=25 d=1.03841 t=27575
xin 	昕	c=2 d=1.85642 t=9016
xin 	欣	c=1 d=1 t=18046
xin 	辛	c=1 d=1 t=9073
xin 	鑫	c=5 d=1 t=26386
xin 	锌	c=1 d=1 t=22536
xin ao 	新奥	c=1 d=1 t=17346
xin dian tu 	心电图	c=1 d=1 t=14927
xin feng 	新风	c=38 d=1.00619 t=25824
xin gao 	新高	c=1 d=1 t=17086
xin guan 	新冠	c=1 d=1 t=19996
xin guan 	新官	c=1 d=1 t=11747
xin hao 	信号	c=5 d=4.78374 t=20943
xin ji 	心急	c=1 d=1 t=13226
xin ji 	新机	c=2 d=1 t=17496
xin jing 	心静	c=1 d=1 t=13274
xin ku 	辛苦	c=3 d=1 t=24039
xin li 	心里	c=1 d=1 t=14957
xin pian 	芯片	c=7 d=3.12727 t=12597
xin shou cun 	新手村	c=1 d=1 t=17484
xin tai 	心态	c=1 d=1 t=18307
xin wen 	新闻	c=2 d=1.00031 t=17696
xin xi 	信息	c=4 d=1.26982 t=16270
xin xin 	昕欣	c=3 d=1.00001 t=9359
xin yan 	心眼	c=1 d=1 t=22813
xin yang 	昕阳	c=1 d=1 t=9929
xin yong ka 	信用卡	c=2 d=1 t=26960
xin zeng 	新增	c=1 d=1 t=22949
xing 	型	c=1 d=1 t=6739
xing 	性	c=3 d=1.98511 t=26045
xing 	星	c=3 d=0.52139 t=9273
xing 	行	c=10 d=1 t=27373
xing 	醒	c=1 d=1 t=21799
xing ba ke 	星巴克	c=1 d=1 t=9124
xing bu 	行不	c=1 d=1 t=7400
xing bu xing 	行不行	c=3 d=1 t=20136
xing can 	形参	c=1 d=1 t=23054
xing cheng 	形成	c=1 d=1 t=13764
xing ge 	性格	c=1 d=1 t=16925
xing hao 	型号	c=8 d=1 t=18789
xing hao 	星号	c=1 d=1 t=15148
xing jia bi 	性价比	c=1 d=1 t=12422
xing jian 	星舰	c=1 d=1 t=18546
xing neng 	性能	c=6 d=1 t=27736
xing neng hua 	性能化	c=11 d=2.41786 t=27749
xing qi wu 	星期五	c=1 d=1 t=27803
xing shi 	形式	c=5 d=1.76721 t=27637
xing zhi 	性质	c=1 d=1 t=16946
xing zhuang 	形状	c=1 d=1 t=24029
xiong 	熊	c=16 d=1.06303 t=10811
xiong 	雄	c=1 d=1 t=4452
xiong di 	熊迪	c=1 d=1 t=8023
xiu 	休	c=2 d=1.00021 t=15987
xiu 	修	c=2 d=1 t=24253
